"block","kairomone","metsch","clone","rep","ref","day","status","statusTime","offspring","infected"
"1","FALSE","FALSE","c1","1","k-m-_c1_1.1","2","alive",NA,NA,NA
"1","FALSE","FALSE","c1","1","k-m-_c1_1.1","5","dead",NA,NA,NA
"1","FALSE","FALSE","c1","2","k-m-_c1_1.2","2","alive",NA,NA,NA
"1","FALSE","FALSE","c1","2","k-m-_c1_1.2","5","alive",NA,NA,NA
"1","FALSE","FALSE","c1","2","k-m-_c1_1.2","8","alive",NA,"0",NA
"1","FALSE","FALSE","c1","2","k-m-_c1_1.2","9","alive",NA,"0",NA
"1","FALSE","FALSE","c1","2","k-m-_c1_1.2","11","alive",NA,"2",NA
"1","FALSE","FALSE","c1","2","k-m-_c1_1.2","14","alive",NA,"5",NA
"1","FALSE","FALSE","c1","2","k-m-_c1_1.2","16","alive",NA,"10",NA
"1","FALSE","FALSE","c1","2","k-m-_c1_1.2","17","alive",NA,"0",NA
"1","FALSE","FALSE","c1","2","k-m-_c1_1.2","21","alive",NA,"0",NA
"1","FALSE","FALSE","c1","3","k-m-_c1_1.3","2","alive",NA,NA,NA
"1","FALSE","FALSE","c1","3","k-m-_c1_1.3","5","alive",NA,NA,NA
"1","FALSE","FALSE","c1","3","k-m-_c1_1.3","8","alive",NA,"0",NA
"1","FALSE","FALSE","c1","3","k-m-_c1_1.3","9","alive",NA,"0",NA
"1","FALSE","FALSE","c1","3","k-m-_c1_1.3","11","alive",NA,"4",NA
"1","FALSE","FALSE","c1","3","k-m-_c1_1.3","14","alive",NA,"7",NA
"1","FALSE","FALSE","c1","3","k-m-_c1_1.3","16","alive",NA,"11",NA
"1","FALSE","FALSE","c1","3","k-m-_c1_1.3","17","alive",NA,"0",NA
"1","FALSE","FALSE","c1","3","k-m-_c1_1.3","21","alive",NA,"0",NA
"1","FALSE","FALSE","c1","4","k-m-_c1_1.4","2","alive",NA,NA,NA
"1","FALSE","FALSE","c1","4","k-m-_c1_1.4","5","alive",NA,NA,NA
"1","FALSE","FALSE","c1","4","k-m-_c1_1.4","8","alive",NA,"0",NA
"1","FALSE","FALSE","c1","4","k-m-_c1_1.4","9","alive",NA,"0",NA
"1","FALSE","FALSE","c1","4","k-m-_c1_1.4","11","alive",NA,"0",NA
"1","FALSE","FALSE","c1","4","k-m-_c1_1.4","14","alive",NA,"0",NA
"1","FALSE","FALSE","c1","4","k-m-_c1_1.4","16","alive",NA,"7",NA
"1","FALSE","FALSE","c1","4","k-m-_c1_1.4","17","alive",NA,"0",NA
"1","FALSE","FALSE","c1","4","k-m-_c1_1.4","21","alive",NA,"6",NA
"1","FALSE","FALSE","c1","5","k-m-_c1_1.5","2","alive",NA,NA,NA
"1","FALSE","FALSE","c1","5","k-m-_c1_1.5","5","alive",NA,NA,NA
"1","FALSE","FALSE","c1","5","k-m-_c1_1.5","8","alive",NA,"0",NA
"1","FALSE","FALSE","c1","5","k-m-_c1_1.5","9","alive",NA,"0",NA
"1","FALSE","FALSE","c1","5","k-m-_c1_1.5","11","alive",NA,"4",NA
"1","FALSE","FALSE","c1","5","k-m-_c1_1.5","14","alive",NA,"5",NA
"1","FALSE","FALSE","c1","5","k-m-_c1_1.5","16","alive",NA,"0",NA
"1","FALSE","FALSE","c1","5","k-m-_c1_1.5","17","alive",NA,"8",NA
"1","FALSE","FALSE","c1","5","k-m-_c1_1.5","21","alive",NA,"3",NA
"1","FALSE","FALSE","c1","6","k-m-_c1_1.6","2","alive",NA,NA,NA
"1","FALSE","FALSE","c1","6","k-m-_c1_1.6","5","alive",NA,NA,NA
"1","FALSE","FALSE","c1","6","k-m-_c1_1.6","8","alive",NA,"0",NA
"1","FALSE","FALSE","c1","6","k-m-_c1_1.6","9","alive",NA,"0",NA
"1","FALSE","FALSE","c1","6","k-m-_c1_1.6","11","alive",NA,"4",NA
"1","FALSE","FALSE","c1","6","k-m-_c1_1.6","14","alive",NA,"9",NA
"1","FALSE","FALSE","c1","6","k-m-_c1_1.6","16","dead",NA,"0",NA
"1","FALSE","FALSE","c1","7","k-m-_c1_1.7","2","alive",NA,NA,NA
"1","FALSE","FALSE","c1","7","k-m-_c1_1.7","5","alive",NA,NA,NA
"1","FALSE","FALSE","c1","7","k-m-_c1_1.7","8","alive",NA,"0",NA
"1","FALSE","FALSE","c1","7","k-m-_c1_1.7","9","alive",NA,"0",NA
"1","FALSE","FALSE","c1","7","k-m-_c1_1.7","11","alive",NA,"4",NA
"1","FALSE","FALSE","c1","7","k-m-_c1_1.7","14","alive",NA,"4",NA
"1","FALSE","FALSE","c1","7","k-m-_c1_1.7","16","dead",NA,"0",NA
"1","FALSE","FALSE","c1","8","k-m-_c1_1.8","2","alive",NA,NA,NA
"1","FALSE","FALSE","c1","8","k-m-_c1_1.8","5","dead",NA,NA,NA
"1","FALSE","FALSE","c1","9","k-m-_c1_1.9","2","alive",NA,NA,NA
"1","FALSE","FALSE","c1","9","k-m-_c1_1.9","5","alive",NA,NA,NA
"1","FALSE","FALSE","c1","9","k-m-_c1_1.9","8","alive",NA,"0",NA
"1","FALSE","FALSE","c1","9","k-m-_c1_1.9","9","alive",NA,"0",NA
"1","FALSE","FALSE","c1","9","k-m-_c1_1.9","11","alive",NA,"1",NA
"1","FALSE","FALSE","c1","9","k-m-_c1_1.9","14","alive",NA,"0",NA
"1","FALSE","FALSE","c1","9","k-m-_c1_1.9","16","alive",NA,"2",NA
"1","FALSE","FALSE","c1","9","k-m-_c1_1.9","17","alive",NA,"0",NA
"1","FALSE","FALSE","c1","9","k-m-_c1_1.9","21","alive",NA,"0",NA
"1","FALSE","FALSE","c1","10","k-m-_c1_1.10","2","alive",NA,NA,NA
"1","FALSE","FALSE","c1","10","k-m-_c1_1.10","5","alive",NA,NA,NA
"1","FALSE","FALSE","c1","10","k-m-_c1_1.10","8","alive",NA,"0",NA
"1","FALSE","FALSE","c1","10","k-m-_c1_1.10","9","alive",NA,"0",NA
"1","FALSE","FALSE","c1","10","k-m-_c1_1.10","11","alive",NA,"0",NA
"1","FALSE","FALSE","c1","10","k-m-_c1_1.10","14","alive",NA,"0",NA
"1","FALSE","FALSE","c1","10","k-m-_c1_1.10","16","missing",NA,"1",NA
"1","FALSE","FALSE","c1","11","k-m-_c1_1.11","2","alive",NA,NA,NA
"1","FALSE","FALSE","c1","11","k-m-_c1_1.11","5","alive",NA,NA,NA
"1","FALSE","FALSE","c1","11","k-m-_c1_1.11","8","dead",NA,NA,NA
"1","FALSE","FALSE","c1","12","k-m-_c1_1.12","2","alive",NA,NA,NA
"1","FALSE","FALSE","c1","12","k-m-_c1_1.12","5","dead",NA,NA,NA
"1","FALSE","FALSE","c1","13","k-m-_c1_1.13","2","alive",NA,NA,NA
"1","FALSE","FALSE","c1","13","k-m-_c1_1.13","5","dead",NA,NA,NA
"1","FALSE","FALSE","m37","1","k-m-_m37_1.1","2","alive",NA,NA,NA
"1","FALSE","FALSE","m37","1","k-m-_m37_1.1","5","alive",NA,NA,NA
"1","FALSE","FALSE","m37","1","k-m-_m37_1.1","8","alive",NA,"0",NA
"1","FALSE","FALSE","m37","1","k-m-_m37_1.1","9","alive",NA,"0",NA
"1","FALSE","FALSE","m37","1","k-m-_m37_1.1","11","alive",NA,"2",NA
"1","FALSE","FALSE","m37","1","k-m-_m37_1.1","14","alive",NA,"5",NA
"1","FALSE","FALSE","m37","1","k-m-_m37_1.1","16","alive",NA,"0",NA
"1","FALSE","FALSE","m37","1","k-m-_m37_1.1","17","alive",NA,"3",NA
"1","FALSE","FALSE","m37","1","k-m-_m37_1.1","21","alive",NA,"0",NA
"1","FALSE","FALSE","m37","2","k-m-_m37_1.2","2","alive",NA,NA,NA
"1","FALSE","FALSE","m37","2","k-m-_m37_1.2","5","alive",NA,NA,NA
"1","FALSE","FALSE","m37","2","k-m-_m37_1.2","8","alive",NA,"0",NA
"1","FALSE","FALSE","m37","2","k-m-_m37_1.2","9","alive",NA,"0",NA
"1","FALSE","FALSE","m37","2","k-m-_m37_1.2","11","alive",NA,"0",NA
"1","FALSE","FALSE","m37","2","k-m-_m37_1.2","14","alive",NA,"0",NA
"1","FALSE","FALSE","m37","2","k-m-_m37_1.2","16","alive",NA,"5",NA
"1","FALSE","FALSE","m37","2","k-m-_m37_1.2","17","alive",NA,"0",NA
"1","FALSE","FALSE","m37","2","k-m-_m37_1.2","21","alive",NA,"0",NA
"1","FALSE","FALSE","m37","3","k-m-_m37_1.3","2","alive",NA,NA,NA
"1","FALSE","FALSE","m37","3","k-m-_m37_1.3","5","alive",NA,NA,NA
"1","FALSE","FALSE","m37","3","k-m-_m37_1.3","8","alive",NA,"0",NA
"1","FALSE","FALSE","m37","3","k-m-_m37_1.3","9","alive",NA,"0",NA
"1","FALSE","FALSE","m37","3","k-m-_m37_1.3","11","alive",NA,"0",NA
"1","FALSE","FALSE","m37","3","k-m-_m37_1.3","14","alive",NA,"4",NA
"1","FALSE","FALSE","m37","3","k-m-_m37_1.3","16","alive",NA,"5",NA
"1","FALSE","FALSE","m37","3","k-m-_m37_1.3","17","alive",NA,"0",NA
"1","FALSE","FALSE","m37","3","k-m-_m37_1.3","21","alive",NA,"2",NA
"1","FALSE","FALSE","w2","1","k-m-_w2_1.1","2","alive",NA,NA,NA
"1","FALSE","FALSE","w2","1","k-m-_w2_1.1","5","alive",NA,NA,NA
"1","FALSE","FALSE","w2","1","k-m-_w2_1.1","8","alive",NA,"0",NA
"1","FALSE","FALSE","w2","1","k-m-_w2_1.1","9","alive",NA,"0",NA
"1","FALSE","FALSE","w2","1","k-m-_w2_1.1","11","alive",NA,"0",NA
"1","FALSE","FALSE","w2","1","k-m-_w2_1.1","14","alive",NA,"3",NA
"1","FALSE","FALSE","w2","1","k-m-_w2_1.1","16","alive",NA,"4",NA
"1","FALSE","FALSE","w2","1","k-m-_w2_1.1","17","alive",NA,"4",NA
"1","FALSE","FALSE","w2","1","k-m-_w2_1.1","21","alive",NA,"0",NA
"1","FALSE","FALSE","w2","2","k-m-_w2_1.2","2","alive",NA,NA,NA
"1","FALSE","FALSE","w2","2","k-m-_w2_1.2","5","alive",NA,NA,NA
"1","FALSE","FALSE","w2","2","k-m-_w2_1.2","8","alive",NA,"0",NA
"1","FALSE","FALSE","w2","2","k-m-_w2_1.2","9","alive",NA,"0",NA
"1","FALSE","FALSE","w2","2","k-m-_w2_1.2","11","alive",NA,"0",NA
"1","FALSE","FALSE","w2","2","k-m-_w2_1.2","14","missing",NA,"0",NA
"1","FALSE","FALSE","w2","3","k-m-_w2_1.3","2","alive",NA,NA,NA
"1","FALSE","FALSE","w2","3","k-m-_w2_1.3","5","alive",NA,NA,NA
"1","FALSE","FALSE","w2","3","k-m-_w2_1.3","8","dead",NA,NA,NA
"1","FALSE","FALSE","w2","4","k-m-_w2_1.4","2","alive",NA,NA,NA
"1","FALSE","FALSE","w2","4","k-m-_w2_1.4","5","alive",NA,NA,NA
"1","FALSE","FALSE","w2","4","k-m-_w2_1.4","8","alive",NA,"0",NA
