"date","ref","plate","duration_feeding","feedingRate"
2022-11-03,"k+m+_c1_1.12",1,9.46888888888889,0.0691505942754709
2022-11-07,"k-m+_m37_2.5",1,8.37666666666667,0.531326199207971
2022-11-09,"k-m-_w2_1.4",1,8.33472222222222,0.374787157524329
2022-12-06,"k-m-_w2_4.3",1,7.87583333333333,0
2022-12-11,"k-m+_w2_5.1",1,7.85083333333333,0.244659036288274
2022-12-12,"k-m+_c1_6.5",1,NA,NA
2022-12-13,"k-m+_c_1",1,NA,NA
2022-12-18,"k+m+_w2_5.1",1,7.47194444444444,0.34834720760965
2022-12-19,"k+m+_w2_6.1",1,7.01277777777778,0.124912070642775
2022-11-03,"k+m-_c_1",1,NA,NA
2022-11-07,"k+m+_c1_2.5",1,8.3525,0.331502936032206
2022-11-09,"k+m-_w2_1.5",1,8.30444444444444,0.403967704922821
2022-12-06,"k-m+_c1_4.3",1,7.84277777777778,0.028398912018433
2022-12-11,"k+m-_c1_5.3",1,7.82444444444444,0.11654531987807
2022-12-12,"k+m-_m37_6.2",1,7.45888888888889,-0.0472833680228096
2022-12-13,"k-m-_c1_4.3",1,7.10888888888889,0.237646122676322
2022-12-18,"k-m+_m37_5.1",1,7.44,0.256371138789718
2022-12-19,"k-m+_m37_6.1",1,6.98888888888889,0.359591391816877
2022-11-03,"k-m+_c1_1.8",1,9.43611111111111,0
2022-11-07,"k-m+_c_1",1,NA,NA
2022-11-09,"k+m+_c1_1.1",1,8.27611111111111,0.0794471904497579
2022-12-06,"k+m+_w2_4.1",1,7.81833333333333,0.270708810771871
2022-12-11,"k-m-_m37_5.3",1,7.76277777777778,0.116936265905733
2022-12-12,"k-m+_c_1",1,NA,NA
2022-12-13,"k-m-_c_1",1,NA,NA
2022-12-18,"k-m+_m37_5.2",1,7.39972222222222,-0.101305206090484
2022-12-19,"k-m-_w2_6.1",1,6.95583333333333,0.14516724668504
2022-11-03,"k-m+_w2_1.2",1,9.40638888888889,0.0541827944751792
2022-11-07,"k-m+_c1_2.6",1,8.32861111111111,0.175410541503847
2022-11-09,"k-m-_w2_1.5",1,8.24027777777778,0.164586894950801
2022-12-06,"k-m+_c1_4.5",1,7.79444444444444,-0.0224104401088407
2022-12-11,"k+m-_c1_5.1",1,7.69833333333333,0.011972273355606
2022-12-12,"k+m+_c1_6.2",1,7.41972222222222,-0.0896121704795022
2022-12-13,"k+m+_w2_4.2",1,7.06055555555556,0.11976024742349
2022-12-18,"k+m-_w2_5.1",1,7.34444444444444,0.271277197298925
2022-12-19,"k-m-_m37_6.2",1,6.93361111111111,0.0497376843300388
2022-11-03,"k+m+_m37_1.1",1,9.38416666666667,0.0697749003244902
2022-11-07,"k+m-_m37_2.8",1,8.29861111111111,0.147274804286961
2022-11-09,"k+m-_w2_1.1",1,8.2125,0.155657073375811
2022-12-06,"k-m-_c_1",1,NA,NA
2022-12-11,"k-m+_m37_5.4",1,7.605,-0.0315344703306842
2022-12-12,"k-m-_c1_6.3",1,7.38194444444444,0.10132995939707
2022-12-13,"k-m+_w2_4.3",1,7.03083333333333,0.0170338144554448
2022-12-18,"k+m+_c1_5.1",1,7.30694444444444,0.207405296809703
2022-12-19,"k-m+_w2_6.1",1,6.90083333333333,0.195592951861016
2022-11-03,"k+m+_c1_1.4",1,NA,NA
2022-11-07,"k-m-_m37_2.1",1,8.27666666666667,0.153514552701053
2022-11-09,"k-m-_c1_1.3",1,8.17416666666667,0.258157435965173
2022-12-06,"k-m-_w2_4.1",1,7.76416666666667,-0.113104483426318
2022-12-11,"k+m-_m37_5.2",1,7.56666666666667,0.368127209984813
2022-12-12,"k-m+_c1_6.2",1,7.35888888888889,0.172242994225018
2022-12-13,"k+m-_w2_4.3",1,6.98444444444444,0.284852944891484
2022-12-18,"k-m+_w2_5.1",1,7.27361111111111,0.35495629902551
2022-12-19,"k+m-_c_1",1,NA,NA
2022-11-03,"k+m+_c1_1.2",1,9.3125,0.119881848206893
2022-11-07,"k+m-_w2_2.3",1,7.50111111111111,0.266866029883817
2022-11-09,"k-m-_c1_1.10",1,NA,NA
2022-12-06,"k+m-_c1_4.5",1,7.74083333333333,0.0279028250233118
2022-12-11,"k+m+_m37_5.4",1,7.44194444444444,0.21914997630467
2022-12-12,"k+m-_c1_6.3",1,7.32916666666667,0.057156486698115
2022-12-13,"k+m-_w2_4.1",1,6.95305555555556,0.25925554943526
2022-12-18,"k+m-_c1_5.1",1,7.24,-0.127587458744496
2022-12-19,"k-m-_c_1",1,NA,NA
2022-11-03,"k-m-_c1_1.6",1,9.285,0.433812471246404
2022-11-07,"k-m+_c1_2.5",1,8.22555555555556,0.233513384527067
2022-11-09,"k-m-_w2_1.2",1,NA,NA
2022-12-06,"k-m+_c_1",1,NA,NA
2022-12-11,"k+m+_m37_5.1",1,7.42222222222222,0.159507506516982
2022-12-12,"k+m-_c1_6.1",1,NA,NA
2022-12-13,"k-m-_w2_4.3",1,6.92111111111111,0.32615801547942
2022-12-18,"k-m+_m37_5.3",1,7.20888888888889,0.305392434061744
2022-12-19,"k-m+_c_1",1,NA,NA
2022-11-03,"k+m-_w2_1.4",1,9.26472222222222,0.289100659261722
2022-11-07,"k-m+_m37_2.8",1,8.20111111111111,0.362680426307318
2022-11-09,"k+m+_m37_1.2",1,8.09583333333333,0.28266586403975
