"ref","date","variable","value_mean","n_obs","range","range_prop","check"
"k+m+_c1_1.1","2022-11-03","body",0.9655310636,1,0,0,FALSE
"k+m+_c1_1.1","2022-11-03","spine",0.1715837564,1,0,0,FALSE
"k+m+_c1_1.10","2022-11-03","body",0.8780463516,1,0,0,FALSE
"k+m+_c1_1.10","2022-11-03","spine",0.3683309372,1,0,0,FALSE
"k+m+_c1_1.12","2022-11-03","body",1.2573148336,1,0,0,FALSE
"k+m+_c1_1.12","2022-11-03","spine",0.4158467426,1,0,0,FALSE
"k+m+_c1_1.2","2022-11-03","body",0.9742731848,1,0,0,FALSE
"k+m+_c1_1.2","2022-11-03","spine",0.3605054258,1,0,0,FALSE
"k+m+_c1_1.5","2022-11-03","body",0.9679374596,1,0,0,FALSE
"k+m+_c1_1.5","2022-11-03","spine",0.3829585686,1,0,0,FALSE
"k+m+_c1_1.7","2022-11-03","body",1.1931819926,1,0,0,FALSE
"k+m+_c1_1.7","2022-11-03","spine",0.4346924504,1,0,0,FALSE
"k+m+_c1_2.2","2022-11-09","body",1.36389618,1,0,0,FALSE
"k+m+_c1_2.2","2022-11-09","spine",0.4658529164,1,0,0,FALSE
"k+m+_c1_2.3","2022-11-07","body",1.2899429116,1,0,0,FALSE
"k+m+_c1_2.3","2022-11-07","spine",0.410802328,1,0,0,FALSE
"k+m+_c1_2.4","2022-11-07","body",1.1916772458,1,0,0,FALSE
"k+m+_c1_2.4","2022-11-07","spine",0.385719701,1,0,0,FALSE
"k+m+_c1_2.5","2022-11-07","body",1.1686440432,1,0,0,FALSE
"k+m+_c1_2.5","2022-11-07","spine",0.3527086926,1,0,0,FALSE
"k+m+_c1_2.9","2022-11-07","body",1.0082713896,1,0,0,FALSE
"k+m+_c1_2.9","2022-11-07","spine",0.3986743106,1,0,0,FALSE
"k+m+_c1_4.1","2022-12-06","body",0.8772436354,2,0.00120081039999997,0.00136884481293778,FALSE
"k+m+_c1_4.1","2022-12-06","spine",0.3017071055,2,0.00435480459999998,0.0144338814718435,TRUE
"k+m+_c1_4.1","2022-12-13","body",1.2785863684,1,0,0,FALSE
"k+m+_c1_4.1","2022-12-13","spine",0.426893609,1,0,0,FALSE
"k+m+_c1_4.4","2022-12-06","body",0.9936608651,2,0.0035776153999999,0.00360043906895725,FALSE
"k+m+_c1_4.4","2022-12-06","spine",0.3268898593,2,0.00144675859999999,0.00442582894158316,FALSE
"k+m+_c1_4.6","2022-12-06","body",0.7584788361,2,0.00159590740000004,0.00210408955931584,FALSE
"k+m+_c1_4.6","2022-12-06","spine",0.2768562154,2,0.00329250040000006,0.0118924561445842,TRUE
"k+m+_c1_4.6","2022-12-13","body",1.2573290068,1,0,0,FALSE
"k+m+_c1_4.6","2022-12-13","spine",0.3680673868,1,0,0,FALSE
"k+m+_c1_5.1","2022-12-11","body",0.857793814,2,0.00471657680000004,0.00549849710154244,FALSE
"k+m+_c1_5.1","2022-12-11","spine",0.3867485407,2,0.000377418600000012,0.000975875951120331,FALSE
"k+m+_c1_5.1","2022-12-18","body",1.1530090351,2,0.00247337579999996,0.00214514867161075,FALSE
"k+m+_c1_5.1","2022-12-18","spine",0.4279309958,2,0.00109773720000006,0.00256522011907056,FALSE
"k+m+_c1_6.2","2022-12-12","body",1.1452899116,2,0.00242686840000017,0.00211899919436972,FALSE
"k+m+_c1_6.2","2022-12-12","spine",0.4091210512,2,0.00890777999999998,0.0217729690854881,TRUE
"k+m+_c1_6.2","2022-12-19","body",1.4207670213,2,0.00102273099999994,0.000719844270501258,FALSE
"k+m+_c1_6.2","2022-12-19","spine",0.4244974365,2,0.00110030259999999,0.00259201235482606,FALSE
"k+m+_m37_1.1","2022-11-03","body",1.1797456212,1,0,0,FALSE
"k+m+_m37_1.1","2022-11-03","spine",0.4058444004,1,0,0,FALSE
"k+m+_m37_1.1","2022-11-09","body",1.4195857562,1,0,0,FALSE
"k+m+_m37_1.1","2022-11-09","spine",0.4129381632,1,0,0,FALSE
"k+m+_m37_1.2","2022-11-03","body",1.231373839,1,0,0,FALSE
"k+m+_m37_1.2","2022-11-03","spine",0.4297728768,1,0,0,FALSE
"k+m+_m37_1.2","2022-11-09","body",1.4301775054,1,0,0,FALSE
"k+m+_m37_1.2","2022-11-09","spine",0.397003143,1,0,0,FALSE
