"ref","plate_assay1","duration_feeding_assay1","feedingRate_assay1","body_assay1","spine_assay1","day_assay1","plate_assay2","duration_feeding_assay2","feedingRate_assay2","body_assay2","spine_assay2","day_assay2"
"k+m+_c1_1.12",1,9.46888888888889,0.0691505942754709,1.2573148336,0.4158467426,8,2,6.84861111111111,0.104628497287839,NA,NA,14
"k-m+_m37_2.5",1,8.37666666666667,0.531326199207971,1.2948568972,0.3854168568,7,NA,NA,NA,NA,NA,NA
"k-m-_w2_4.3",1,7.87583333333333,0,0.9320887886,0.1586649608,7,1,6.92111111111111,0.32615801547942,1.213734428,0.0644418828,14
"k-m+_w2_5.1",1,7.85083333333333,0.244659036288274,1.308789102,0.4829562604,7,1,7.27361111111111,0.35495629902551,1.4340711476,0.3135274146,14
"k-m+_c1_6.5",1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"k+m+_c1_2.5",1,8.3525,0.331502936032206,1.1686440432,0.3527086926,7,NA,NA,NA,NA,NA,NA
"k-m+_c1_4.3",1,7.84277777777778,0.028398912018433,1.0033391795,0.3693908665,7,1,6.75194444444444,0.128868621040304,1.2119207156,0.3332497526,14
"k+m-_c1_5.3",1,7.82444444444444,0.11654531987807,0.6571270322,0.101831013,7,NA,NA,NA,NA,NA,NA
"k+m-_m37_6.2",1,7.45888888888889,-0.0472833680228096,0.9962135016,0.105450005,7,1,6.59027777777778,0.38834990385413,1.3872442156,0.1976199248,14
"k-m+_c1_1.8",1,9.43611111111111,0,1.1103221888,0.34591244,8,2,NA,NA,NA,NA,14
"k+m+_w2_4.1",1,7.81833333333333,0.270708810771871,1.1263052531,0.3653567115,7,1,6.53277777777778,0.270835338622622,1.4354409696,0.4623641502,14
"k-m-_m37_5.3",1,7.76277777777778,0.116936265905733,0.9023085078,0.0218851734,7,1,7.13611111111111,0.603666211729403,1.2761084714,0.016363696,14
"k-m+_w2_1.2",1,9.40638888888889,0.0541827944751792,1.0670623566,0.39686992,8,2,7.54277777777778,0.383668915327199,1.294496776,0.3475629066,14
"k-m+_c1_2.6",1,8.32861111111111,0.175410541503847,1.0011474008,0.3723610028,7,NA,NA,NA,NA,NA,NA
"k-m+_c1_4.5",1,7.79444444444444,-0.0224104401088407,0.9314573446,0.4032693738,7,1,6.81444444444444,-0.117460356931653,1.2326844028,0.4375832244,14
"k+m-_c1_5.1",1,7.69833333333333,0.011972273355606,0.890709801,0.2628301068,7,1,7.24,-0.127587458744496,1.1245373242,0.3356917594,14
"k+m+_c1_6.2",1,7.41972222222222,-0.0896121704795022,1.1452899116,0.4091210512,7,1,6.71194444444444,0.239309481272339,1.4207670213,0.4244974365,14
"k+m+_m37_1.1",1,9.38416666666667,0.0697749003244902,1.1797456212,0.4058444004,8,1,7.54666666666667,0.405518389293256,1.4195857562,0.4129381632,14
"k+m-_m37_2.8",1,8.29861111111111,0.147274804286961,1.1632599036,0.3195686014,7,NA,NA,NA,NA,NA,NA
"k-m+_m37_5.4",1,7.605,-0.0315344703306842,1.190841281,0.4153407746,7,1,7.01333333333333,-0.0909549494420106,1.4409648854,0.3389947754,14
"k-m-_c1_6.3",1,7.38194444444444,0.10132995939707,0.9119772718,0.2529764054,7,1,6.47472222222222,0.136767870963663,1.2345089102,0.3540583724,14
"k+m+_c1_1.4",1,NA,NA,NA,NA,8,2,7.15472222222222,0.515614025137912,NA,NA,14
"k-m-_m37_2.1",1,8.27666666666667,0.153514552701053,0.8682279816,0.0586910688,7,NA,NA,NA,NA,NA,NA
"k-m-_w2_4.1",1,7.76416666666667,-0.113104483426318,0.909801584,0.3575471132,7,1,6.65166666666667,0.461332695520358,0.9815738306,0.1920091664,14
"k+m-_m37_5.2",1,7.56666666666667,0.368127209984813,0.9222260956,0.1896712996,7,1,7.03638888888889,0.0466003561496849,1.174025211,0.2863321426,14
"k-m+_c1_6.2",1,7.35888888888889,0.172242994225018,1.0186274776,0.3105898538,7,1,6.75138888888889,0.252204725694305,1.412518257,0.3142635828,14
"k+m+_c1_1.2",1,9.3125,0.119881848206893,0.9742731848,0.3605054258,8,2,NA,NA,NA,NA,14
"k+m-_w2_2.3",1,7.50111111111111,0.266866029883817,1.3270585854,0.4043052874,7,NA,NA,NA,NA,NA,NA
"k+m-_c1_4.5",1,7.74083333333333,0.0279028250233118,0.8519765917,0.3171479052,7,NA,NA,NA,NA,NA,NA
"k+m+_m37_5.4",1,7.44194444444444,0.21914997630467,0.9303783272,0.3114544444,7,NA,NA,NA,NA,NA,NA
"k+m-_c1_6.3",1,7.32916666666667,0.057156486698115,0.9690913562,0.0611349298,7,1,6.62138888888889,0.397049694354096,1.3777223398,0.0997505244,14
"k-m-_c1_1.6",1,9.285,0.433812471246404,1.3617293568,NA,8,2,7.25555555555556,0.660487375062165,1.562989381,0.3602142656,14
"k-m+_c1_2.5",1,8.22555555555556,0.233513384527067,1.147954143,0.4178575082,7,NA,NA,NA,NA,NA,NA
