"ref","r1","fate","day_fate","infectionFate","day_infection"
"k-m-_c1_1.1","0","dead","5","FALSE","NULL"
"k-m-_c1_1.2","0.195124968680686","alive","21","FALSE","NULL"
"k-m-_c1_1.3","0.220213704316449","alive","21","FALSE","NULL"
"k-m-_c1_1.4","0.143460620894383","alive","21","FALSE","NULL"
"k-m-_c1_1.5","0.204128021920194","alive","21","FALSE","NULL"
"k-m-_c1_1.6","0.199245335753841","dead","16","FALSE","NULL"
"k-m-_c1_1.7","0.168895075484508","dead","16","FALSE","NULL"
"k-m-_c1_1.8","0","dead","5","FALSE","NULL"
"k-m-_c1_1.9","0.0778673859787893","alive","21","FALSE","NULL"
"k-m-_c1_1.10","0","missing","16","FALSE","NULL"
"k-m-_c1_1.11","0","dead","8","FALSE","NULL"
"k-m-_c1_1.12","0","dead","5","FALSE","NULL"
"k-m-_c1_1.13","0","dead","5","FALSE","NULL"
"k-m-_m37_1.1","0.165254789147352","alive","21","FALSE","NULL"
"k-m-_m37_1.2","0.100589869527131","alive","21","FALSE","NULL"
"k-m-_m37_1.3","0.151854910151196","alive","21","FALSE","NULL"
"k-m-_w2_1.1","0.152673403657066","alive","21","FALSE","NULL"
"k-m-_w2_1.2","0","missing","14","FALSE","NULL"
"k-m-_w2_1.3","0","dead","8","FALSE","NULL"
"k-m-_w2_1.4","0.0990179825714211","alive","21","FALSE","NULL"
"k-m-_w2_1.5","0.1086809203018","alive","21","FALSE","NULL"
"k+m-_c1_1.1","0","lost","9","FALSE","NULL"
"k+m-_c1_1.2","0","lost","8","FALSE","NULL"
"k+m-_c1_1.3","0.166078305916186","alive","21","FALSE","NULL"
"k+m-_c1_1.4","0","dead","8","FALSE","NULL"
"k+m-_c1_1.5","0.19334318741072","alive","21","FALSE","NULL"
"k+m-_c1_1.6","0.114589854384906","alive","21","FALSE","NULL"
"k+m-_c1_1.7","0","dead","2","FALSE","NULL"
"k+m-_c1_1.8","0","missing","5","FALSE","NULL"
"k+m-_c1_1.9","0","dead","8","FALSE","NULL"
"k+m-_c1_1.10","0.150541946287196","alive","21","FALSE","NULL"
"k+m-_c1_1.11","0","missing","5","FALSE","NULL"
"k+m-_c1_1.12","0.1788264347149","lost","11","FALSE","NULL"
"k+m-_c1_1.13","0.16238514699241","alive","21","FALSE","NULL"
"k+m-_m37_1.1","0.0708213446628816","alive","21","FALSE","NULL"
