"ref","date","body","spine"
"k--m-_c1_1.3","2022-11-03",1.3214903974,0.4812368836
"k-m-_c1_1.10","2022-11-03",0.8736664518,0.4021333334
"k-m-_c1_1.10","2022-11-09",1.2293376734,0.4508251334
"k-m-_c1_1.2","2022-11-03",1.2922186754,0.4559439954
"k-m-_c1_1.2","2022-11-09",1.5831841844,0.5204026422
"k-m-_c1_1.3","2022-11-09",1.6120886732,0.5434965
"k-m-_c1_1.4","2022-11-03",1.0870868022,0.3757411078
"k-m-_c1_1.4","2022-11-09",1.4205665518,0.5123815
"k-m-_c1_1.5","2022-11-03",1.3726712704,0.4888255654
"k-m-_c1_1.5","2022-11-09",1.5691953376,0.4142047596
"k-m-_c1_1.6","2022-11-03",1.3615889456,0.5291314284
"k-m-_c1_1.6","2022-11-09",1.562989381,0.3602142656
"k-m-_c1_1.7","2022-11-03",1.2870965622,0.4404322916
"k-m-_c1_1.7","2022-11-09",1.5767464528,0.4572582676
"k-m-_c1_1.9","2022-11-03",1.2290212148,0.4463052796
"k-m-_c1_1.9","2022-11-09",1.3199911116,0.2348741556
"k-m-_c1_2.1","2022-11-07",1.1389242398,0.4186955304
"k-m-_c1_2.10","2022-11-07",1.2757166256,0.4000523622
"k-m-_c1_2.5","2022-11-07",1.0322060128,0.345282774
"k-m-_c1_2.7","2022-11-07",1.1637284828,0.3722643812
"k-m-_c1_2.8","2022-11-07",1.2866415974,0.3936593854
"k-m-_c1_4.3","2022-12-06",0.8896049264,0.2814045934
"k-m-_c1_4.3","2022-12-13",1.21560971,0.3491845696
"k-m-_c1_4.4","2022-12-06",0.679346622,0.2092092336
"k-m-_c1_4.4","2022-12-13",0.8089857582,0.201310621
"k-m-_c1_5.1","2022-12-11",0.9367170242,0.3616803028
"k-m-_c1_5.1","2022-12-18",1.2826497842,0.4222685484
"k-m-_c1_5.2","2022-12-11",0.7691334884,0.0323362828
"k-m-_c1_6.3","2022-12-12",0.9119772718,0.2529764054
"k-m-_c1_6.3","2022-12-19",1.2345089102,0.3540583724
"k-m-_m37_1.1","2022-11-03",1.2043381298,0.4399138522
"k-m-_m37_1.1","2022-11-09",1.3174575124,0.3674508018
"k-m-_m37_1.2","2022-11-03",1.2289543112,0.4548637334
"k-m-_m37_1.2","2022-11-09",1.3758827448,0.3882441816
"k-m-_m37_1.3","2022-11-03",1.150558659,0.4329320018
"k-m-_m37_1.3","2022-11-09",1.3562786692,0.3891211166
"k-m-_m37_2.1","2022-11-07",0.8682279816,0.0586910688
"k-m-_m37_2.2","2022-11-07",1.0079801786,0.0713435454
"k-m-_m37_2.3","2022-11-07",0.8095293944,0.0970469992
"k-m-_m37_2.4","2022-11-07",1.206984505,0.4241220372
"k-m-_m37_2.5","2022-11-07",0.9058885108,0.3165299486
"k-m-_m37_2.6","2022-11-07",1.1316112242,0.3808181614
"k-m-_m37_2.8","2022-11-07",1.1923050322,0.3825600426
"k-m-_m37_2.9","2022-11-07",1.0961896288,0.3614761376
"k-m-_m37_5.3","2022-12-11",0.9023085078,0.0218851734
"k-m-_m37_5.3","2022-12-18",1.2761084714,0.016363696
"k-m-_m37_6.1","2022-12-12",1.1415961928,0.3617894212
"k-m-_m37_6.1","2022-12-19",1.4604997714,0.411704155
"k-m-_m37_6.2","2022-12-12",0.950873892,0.3917328462
"k-m-_m37_6.2","2022-12-19",1.415558002,0.4127987426
"k-m-_w2_1.1","2022-11-03",1.0703654234,0.2633887798
"k-m-_w2_1.1","2022-11-09",1.3548852506,0.3384637122
"k-m-_w2_1.2","2022-11-03",0.9698318424,0.3635444342
"k-m-_w2_1.3","2022-11-03",0.9515516656,0.34365184
"k-m-_w2_1.4","2022-11-03",0.8973952207,0.3353900201
"k-m-_w2_1.4","2022-11-09",1.3933358468,0.3815263134
"k-m-_w2_1.5","2022-11-03",1.226199097,0.4129779904
"k-m-_w2_1.5","2022-11-09",1.3366442152,0.35490277
"k-m-_w2_2.1","2022-11-07",1.2720267422,0.4622716688
"k-m-_w2_4.1","2022-12-06",0.909801584,0.3575471132
"k-m-_w2_4.1","2022-12-13",0.9815738306,0.1920091664
"k-m-_w2_4.2","2022-12-06",1.1957100292,0.3778901256
"k-m-_w2_4.2","2022-12-13",1.4801063108,0.4132924932
"k-m-_w2_4.3","2022-12-06",0.9320887886,0.1586649608
"k-m-_w2_4.3","2022-12-13",1.213734428,0.0644418828
"k-m-_w2_5.1","2022-12-18",0.9449705002,0.024197056
"k-m-_w2_6.1","2022-12-12",0.8976879176,0.1171983178
"k-m-_w2_6.1","2022-12-19",1.287378299,0.2181491192
"k-m+_c1_1.1","2022-11-03",1.0216034178,0.327683241
"k-m+_c1_1.1","2022-11-09",1.2595566122,0.4476290006
"k-m+_c1_1.10","2022-11-03",0.8423258236,0.351471103
"k-m+_c1_1.10","2022-11-09",1.2684039402,0.3383045558
"k-m+_c1_1.16","2022-11-09",1.520507246,0.4611317676
"k-m+_c1_1.18","2022-11-09",1.4136675816,0.4566950226
"k-m+_c1_1.2","2022-11-03",1.149580505,0.4518317862
"k-m+_c1_1.2","2022-11-09",1.4048067154,0.494650141
"k-m+_c1_1.4","2022-11-03",0.9613769698,0.2707842438
"k-m+_c1_1.4","2022-11-09",1.3587162564,0.4367706276
"k-m+_c1_1.5","2022-11-03",1.1652340678,0.1008799608
"k-m+_c1_1.5","2022-11-09",1.47071207,0.153914348
"k-m+_c1_1.6","2022-11-03",1.0541049022,0.4065277366
"k-m+_c1_1.7","2022-11-03",0.9752779326,0.4182666514
"k-m+_c1_1.7","2022-11-09",1.277404354,0.4715793718
"k-m+_c1_1.8","2022-11-03",1.1103221888,0.34591244
"k-m+_c1_2.1","2022-11-07",1.2611024816,0.4515564248
"k-m+_c1_2.3","2022-11-07",0.9268866908,0.3228032406
"k-m+_c1_2.5","2022-11-07",1.147954143,0.4178575082
"k-m+_c1_2.6","2022-11-07",1.0011474008,0.3723610028
"k-m+_c1_2.8","2022-11-07",1.0672039362,0.1030317218
"k-m+_c1_4.1","2022-12-06",0.8892629535,0.3250217401
"k-m+_c1_4.3","2022-12-06",1.0033391795,0.3693908665
"k-m+_c1_4.3","2022-12-13",1.2119207156,0.3332497526
"k-m+_c1_4.4","2022-12-13",1.31690999,0.3557532636
"k-m+_c1_4.5","2022-12-06",0.9314573446,0.4032693738
"k-m+_c1_4.5","2022-12-13",1.2326844028,0.4375832244
"k-m+_c1_6.1","2022-12-12",1.1101128674,0.3608244244
"k-m+_c1_6.1","2022-12-19",1.4210498376,0.2947565352
"k-m+_c1_6.2","2022-12-12",1.0186274776,0.3105898538
"k-m+_c1_6.2","2022-12-19",1.412518257,0.3142635828
"k-m+_c1_6.3","2022-12-12",0.970940273,0.0141104874
"k-m+_c1_6.3","2022-12-19",1.3076086116,0.0116679472
"k-m+_c1_6.4","2022-12-12",0.906460214,0.3251874116
"k-m+_c1_6.4","2022-12-19",1.371623114,0.3814530344
"k-m+_m37_1.2","2022-11-03",1.2217299162,0.36491037
"k-m+_m37_1.2","2022-11-09",1.3967206,0.3446500092
"k-m+_m37_1.3","2022-11-03",1.0720059586,0.0442860176
"k-m+_m37_1.3","2022-11-09",1.1068472402,0.076570332
"k-m+_m37_2.1","2022-11-07",1.0381044516,0.363355509
"k-m+_m37_2.3","2022-11-07",0.7786489634,0.3325462996
"k-m+_m37_2.4","2022-11-07",0.8554412914,0.2981773564
"k-m+_m37_2.5","2022-11-07",1.2948568972,0.3854168568
"k-m+_m37_2.6","2022-11-07",0.8765634742,0.0920726886
"k-m+_m37_2.7","2022-11-07",1.1089381428,0.4139768708
"k-m+_m37_2.8","2022-11-07",1.0718885852,0.3163173506
"k-m+_m37_5.1","2022-12-11",1.211871846,0.439172985
"k-m+_m37_5.1","2022-12-18",1.4466871498,0.3964014678
"k-m+_m37_5.2","2022-12-11",1.1509102458,0.4259877688
"k-m+_m37_5.2","2022-12-18",1.4550624696,0.378464191
"k-m+_m37_5.3","2022-12-11",1.2443812552,0.4677629202
"k-m+_m37_5.3","2022-12-18",1.4608448812,0.4558298986
"k-m+_m37_5.4","2022-12-11",1.190841281,0.4153407746
"k-m+_m37_5.4","2022-12-18",1.4409648854,0.3389947754
"k-m+_m37_6.1","2022-12-12",1.120275509,0.383604897
"k-m+_m37_6.1","2022-12-19",1.4434896454,0.3730670466
"k-m+_m37_6.2","2022-12-12",0.9230033102,0.3266438984
"k-m+_m37_6.2","2022-12-19",1.3295652098,0.35490277
"k-m+_w2_1.1","2022-11-03",0.8868073196,0.3346865036
"k-m+_w2_1.1","2022-11-09",1.3883273986,0.3938118362
"k-m+_w2_1.2","2022-11-03",1.0670623566,0.39686992
"k-m+_w2_1.2","2022-11-09",1.294496776,0.3475629066
"k-m+_w2_1.3","2022-11-03",1.0288321816,0.2825477712
"k-m+_w2_1.3","2022-11-09",1.2935009436,0.3724631362
"k-m+_w2_1.4","2022-11-03",0.9913703566,0.3493234822
"k-m+_w2_1.4","2022-11-09",1.416833717,0.3809957328
"k-m+_w2_1.5","2022-11-03",0.7970953832,0.3034769648
"k-m+_w2_1.5","2022-11-09",1.21926731,0.3671009676
"k-m+_w2_2.1","2022-11-07",1.2282133678,0.371502051
"k-m+_w2_2.2","2022-11-07",1.2882128922,0.2564083264
"k-m+_w2_2.3","2022-11-07",0.8649838174,0.2800284214
"k-m+_w2_4.1","2022-12-06",1.218274805,0.404439501
"k-m+_w2_4.1","2022-12-13",1.5033977044,0.2483602602
"k-m+_w2_4.2","2022-12-06",1.1463749488,0.375291096
"k-m+_w2_4.2","2022-12-13",1.36680702,0.4385818508
"k-m+_w2_4.3","2022-12-06",1.1775361514,0.4243931822
"k-m+_w2_4.3","2022-12-13",1.3646357772,0.2696254958
"k-m+_w2_5.1","2022-12-11",1.308789102,0.4829562604
"k-m+_w2_5.1","2022-12-18",1.4340711476,0.3135274146
"k-m+_w2_6.1","2022-12-12",0.830192396,0.2281596656
"k-m+_w2_6.1","2022-12-19",0.9967012324,0.2808663928
"k+m-_c1_1.10","2022-11-03",0.978064846,0.402453729
"k+m-_c1_1.10","2022-11-09",1.2910268312,0.4525882744
"k+m-_c1_1.12","2022-11-03",1.2680977178,0.4629773316
"k+m-_c1_1.13","2022-11-03",1.22125613,0.4148638388
"k+m-_c1_1.13","2022-11-09",1.4252258008,0.4202153648
"k+m-_c1_1.2","2022-11-03",0.9579628542,0.368864134
"k+m-_c1_1.3","2022-11-03",1.1342851838,0.430663604
"k+m-_c1_1.3","2022-11-09",1.412156688,0.4902454254
"k+m-_c1_1.4","2022-11-03",1.0851121808,0.2881522812
"k+m-_c1_1.5","2022-11-03",1.2841546453,0.3853871134
