"date","ref","plate","duration_feeding","feedingRate","body","spine","treatment","clone","kairomone","metsch","block","rep","day","assay","r1","fate","day_fate","infectionFate","day_infection"
"2022-11-03","k+m+_c1_1.12"," 1","9.468889"," 0.069150594","1.2573148","0.41584674","k+m+","c1","TRUE","TRUE"," 1","12","  8"," 1","0.18401888","alive","21","FALSE","NULL"
"2022-11-07","k-m+_m37_2.5"," 1","8.376667"," 0.531326199","1.2948569","0.38541686","k-m+","m37","FALSE","TRUE"," 2"," 5","  7"," 1","0.00000000","lost","11","FALSE","NULL"
"2022-11-09","k-m-_w2_1.4"," 1","8.334722"," 0.374787158","1.3933358","0.38152631","k-m-","w2","FALSE","FALSE"," 1"," 4"," 14"," 2","0.09901798","alive","21","FALSE","NULL"
"2022-12-06","k-m-_w2_4.3"," 1","7.875833"," 0.000000000","0.9320888","0.15866496","k-m-","w2","FALSE","FALSE"," 4"," 3","  7"," 1","0.03300701","alive","21","FALSE","NULL"
"2022-12-11","k-m+_w2_5.1"," 1","7.850833"," 0.244659036","1.3087891","0.48295626","k-m+","w2","FALSE","TRUE"," 5"," 1","  7"," 1","0.12714906","alive","21","FALSE","NULL"
"2022-12-12","k-m+_c1_6.5"," 1",NA,NA,NA,NA,"k-m+","c1","FALSE","TRUE"," 6"," 5","  7"," 1","0.00000000","dead"," 7","FALSE","NULL"
"2022-12-18","k+m+_w2_5.1"," 1","7.471944"," 0.348347208","1.5050858","0.39880062","k+m+","w2","TRUE","TRUE"," 5"," 1"," 14"," 2","0.11235901","alive","21","FALSE","NULL"
"2022-12-19","k+m+_w2_6.1"," 1","7.012778"," 0.124912071","1.1003654","0.31124248","k+m+","w2","TRUE","TRUE"," 6"," 1"," 14"," 2","0.10919221","alive","21","FALSE","NULL"
"2022-11-07","k+m+_c1_2.5"," 1","8.352500"," 0.331502936","1.1686440","0.35270869","k+m+","c1","TRUE","TRUE"," 2"," 5","  7"," 1","0.14454172","dead","17","FALSE","NULL"
"2022-11-09","k+m-_w2_1.5"," 1","8.304444"," 0.403967705","1.2593026","0.34499641","k+m-","w2","TRUE","FALSE"," 1"," 5"," 14"," 2","0.13811512","alive","21","FALSE","NULL"
"2022-12-06","k-m+_c1_4.3"," 1","7.842778"," 0.028398912","1.0033392","0.36939087","k-m+","c1","FALSE","TRUE"," 4"," 3","  7"," 1","0.03300701","alive","21","FALSE","NULL"
"2022-12-11","k+m-_c1_5.3"," 1","7.824444"," 0.116545320","0.6571270","0.10183101","k+m-","c1","TRUE","FALSE"," 5"," 3","  7"," 1","0.00000000","dead"," 9","FALSE","NULL"
"2022-12-12","k+m-_m37_6.2"," 1","7.458889","-0.047283368","0.9962135","0.10545000","k+m-","m37","TRUE","FALSE"," 6"," 2","  7"," 1","0.12619801","alive","21","FALSE","NULL"
"2022-12-13","k-m-_c1_4.3"," 1","7.108889"," 0.237646123","1.2156097","0.34918457","k-m-","c1","FALSE","FALSE"," 4"," 3"," 14"," 2","0.03770723","alive","21","FALSE","NULL"
"2022-12-18","k-m+_m37_5.1"," 1","7.440000"," 0.256371139","1.4466871","0.39640147","k-m+","m37","FALSE","TRUE"," 5"," 1"," 14"," 2","0.09467282","alive","21","FALSE","NULL"
"2022-12-19","k-m+_m37_6.1"," 1","6.988889"," 0.359591392","1.4434896","0.37306705","k-m+","m37","FALSE","TRUE"," 6"," 1"," 14"," 2","0.11767068","alive","21","FALSE","NULL"
"2022-11-03","k-m+_c1_1.8"," 1","9.436111"," 0.000000000","1.1103222","0.34591244","k-m+","c1","FALSE","TRUE"," 1"," 8","  8"," 1","0.00000000","missing","16","FALSE","NULL"
